Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
ELKTOWNSHIPNJ.GOV,City,Non-Federal Agency,Township of Elk,Monroeville,NJ,(blank)
ELLAGO-TX.GOV,City,Non-Federal Agency,City of El Lago,El Lago,TX,(blank)
ELLENDALEND.GOV,City,Non-Federal Agency,City of Ellendale,Ellendale,ND,angela@simplewolfmedia.com
ELLENSBURGWA.GOV,City,Non-Federal Agency,City of Ellensburg,Ellensburg,WA,faubionb@ci.ellensburg.wa.us
ELLIJAY-GA.GOV,City,Non-Federal Agency,City of Ellijay,Ellijay,GA,(blank)
ELLINGTON-CT.GOV,City,Non-Federal Agency,Town of Ellington,Ellington,CT,(blank)
ELLSWORTHMAINE.GOV,City,Non-Federal Agency,"City of Ellsworth, Maine",Ellsworth,ME,tech@ellsworthmaine.gov
ELMERBOROUGHNJ.GOV,City,Non-Federal Agency,Borough of Elmer,Elmer,NJ,security@elmerboroughnj.gov
ELMIRAGEAZ.GOV,City,Non-Federal Agency,City of El Mirage,El Mirage,AZ,(blank)
ELMONTECA.GOV,City,Non-Federal Agency,City of El Monte,El Monte,CA,(blank)
ELMWOODMI.GOV,City,Non-Federal Agency,Charter Township of Elmwood,Traverse City,MI,planner@elmwoodtownship.net
ELMWOODPLACE-OH.GOV,City,Non-Federal Agency,"M-Tec Systems, Inc",Cincinnati,OH,(blank)
ELON.GOV,City,Non-Federal Agency,Town of Elon,Elon,NC,mike@comtechnc.com
ELOYAZ.GOV,City,Non-Federal Agency,City of Eloy,Eloy,AZ,(blank)
ELPASOTEXAS.GOV,City,Non-Federal Agency,City of El Paso,El Paso,TX,IT-SecurityAssurance@elpasotexas.gov
ELRENOOK.GOV,City,Non-Federal Agency,City of El Reno,El Reno,OK,it@cityofelreno.com
EMERALDBAY-TX.GOV,City,Non-Federal Agency,Emerald Bay Municipal Utility District,Bullard,TX,(blank)
EMMITSBURGMD.GOV,City,Non-Federal Agency,Emmitsburg Town Government,Emmitsburg,MD,ST@royernetworks.com
EMPORIA-KANSAS.GOV,City,Non-Federal Agency,City Of Emporia,Emporia,KS,akenyon@emporia-kansas.gov
EMPORIAKS.GOV,City,Non-Federal Agency,City of Emporia,Emporia,KS,akenyon@emporia-kansas.gov
ENCINITASCA.GOV,City,Non-Federal Agency,City of Encinitas,Encinitas,CA,msalmon@encinitasca.gov
ENCINITASCALIFORNIA.GOV,City,Non-Federal Agency,City of Encinitas,Encinitas,CA,(blank)
ENFIELD-CT.GOV,City,Non-Federal Agency,Town of Enfield,Enfield,CT,(blank)
ENGAGEWARNERROBINSGA.GOV,City,Non-Federal Agency,City of Warner Robins,Warner Robins,GA,itaccounts@wrga.gov
ENGLEWOODCO.GOV,City,Non-Federal Agency,City of Englewood,Englewood,CO,jking@englewoodco.gov
ENNISTX.GOV,City,Non-Federal Agency,City of Ennis Texas,Ennis,TX,(blank)
ENON-OH.GOV,City,Non-Federal Agency,Village Of Enon,Enon,OH,(blank)
ENTERPRISEAL.GOV,City,Non-Federal Agency,City of Enterprise,Enterprise,AL,(blank)
ERDA.GOV,City,Non-Federal Agency,The City of Erda,Erda,UT,jb4erda@gmail.com
ERIECO.GOV,City,Non-Federal Agency,Town of Erie,Erie,CO,itadmin@erieco.gov
ERLANGERKY.GOV,City,Non-Federal Agency,City of Erlanger,Erlanger,KY,jim.white@cityoferlanger.com
ERVING-MA.GOV,City,Non-Federal Agency,Town of Erving,Erving,MA,it@erving-ma.gov
ERWINMI.GOV,City,Non-Federal Agency,Erwin Township,Ironwood,MI,(blank)
ESCONDIDOCA.GOV,City,Non-Federal Agency,City of Escondido,Escondido,CA,dotgovsec@escondido.org
ESPANOLANM.GOV,City,Non-Federal Agency,City of Espanola,Espanola,NM,(blank)
ESSEXCT.GOV,City,Non-Federal Agency,Essex Town Hall,Essex,CT,tcelentano@essexct.gov
ESTERO-FL.GOV,City,Non-Federal Agency,Village of Estero,Estero,FL,no-reply@estero-fl.gov
EUGENE-OR.GOV,City,Non-Federal Agency,City of Eugene ISD,Eugene,OR,(blank)
EULESSTX.GOV,City,Non-Federal Agency,"City of Euless, TX",Euless,TX,sjoyce@eulesstx.gov
EUREKA-MT.GOV,City,Non-Federal Agency,Town of Eureka,Eureka,MT,(blank)
EUREKACA.GOV,City,Non-Federal Agency,City of Eureka,Eureka,CA,cybersecurity@ci.eureka.ca.gov
EUREKASPRINGSAR.GOV,City,Non-Federal Agency,Eureka Springs Police Department,Eureka Springs,AR,(blank)
EUREKATOWNSHIPMI.GOV,City,Non-Federal Agency,Eureka Township,Greenville,MI,kps@shumakergroup.com
EUTAWAL.GOV,City,Non-Federal Agency,City of Eutaw,Eutaw,AL,it@eutawal.org
EVANSCOLORADO.GOV,City,Non-Federal Agency,City of Evans Colorado,Evans,CO,IT@evanscolorado.gov
EVANSTON-WY.GOV,City,Non-Federal Agency,CITY OF EVANSTON,EVANSTON,WY,(blank)
EVANSVILLE-WY.GOV,City,Non-Federal Agency,Town of Evansville,Evansville,WY,(blank)
EVERETTWA.GOV,City,Non-Federal Agency,City of Everett,Everett,WA,itnotices@everettwa.gov
EVERGREENAL.GOV,City,Non-Federal Agency,City of Everygreen,Evergreen,AL,cjackson@evergreenal.org
EVESHAM-NJ.GOV,City,Non-Federal Agency,Evesham Township,Marlton,NJ,MISAlerts@evesham-nj.gov
EXCELSIORSPRINGS.GOV,City,Non-Federal Agency,City of Excelsior Springs,Excelsior Springs,MO,security@enetkc.com
EXETERNH.GOV,City,Non-Federal Agency,"Town of Exeter, NH",Exeter,NH,sbailey@exeternh.gov
EXETERRI.GOV,City,Non-Federal Agency,Town of Exeter,Exeter,RI,(blank)
FAIRBORNOH.GOV,City,Non-Federal Agency,City of Fairborn,Fairborn,OH,its_group@ci.fairborn.oh.us
FAIRBORNOHIO.GOV,City,Non-Federal Agency,City of Fairborn,Fairborn,OH,its_group@ci.fairborn.oh.us
FAIRFAX-MN.GOV,City,Non-Federal Agency,City of Fairfax,Fairfax,MN,(blank)
FAIRFAX-VT.GOV,City,Non-Federal Agency,Town of Fairfax,Fairfax,VT,(blank)
FAIRFAXSC.GOV,City,Non-Federal Agency,Town of Fairfax South Carolina,Fairfax,SC,admin@paknetit.com
FAIRFAXVA.GOV,City,Non-Federal Agency,City of Fairfax,Fairfax,VA,(blank)
FAIRFIELD-ME.GOV,City,Non-Federal Agency,Town of Fairfield,Fairfield,ME,(blank)
FAIRFIELDCT.GOV,City,Non-Federal Agency,Town of Fairfield Connecticut,Fairfield,CT,dkelley@fairfieldct.org
FAIRFIELDIOWA.GOV,City,Non-Federal Agency,City of Fairfield,Fairfield,IA,(blank)
FAIRFIELDMT.GOV,City,Non-Federal Agency,Town of Fairfield,Fairfield,MT,jamesk@schoolhouseit.com
FAIRFIELDOH.GOV,City,Non-Federal Agency,City of Fairfield Ohio,Fairfield,OH,(blank)
FAIRFIELDTEXAS.GOV,City,Non-Federal Agency,"City of Fairfield, TX",Fairfield,TX,cityoffairfieldtx@gmail.com
FAIRHAVEN-MA.GOV,City,Non-Federal Agency,Town of Fairhaven,Fairhaven,MA,techsupport@fairhavenps.net
FAIRHOPE-AL.GOV,City,Non-Federal Agency,City of Fairhope,Fairhope,AL,(blank)
FAIRHOPEAL.GOV,City,Non-Federal Agency,City of Fairhope,Fairhope,AL,(blank)
FAIRHOPEALPOLICE.GOV,City,Non-Federal Agency,City of Fairhope Police Department,Fairhope,AL,(blank)
FAIRLEEVT.GOV,City,Non-Federal Agency,Town of Fairlee,Fairlee,VT,townadministrator@fairleevt.org
FAIRMONTNC.GOV,City,Non-Federal Agency,"Town of Fairmont, NC",Fairmont,NC,service@vc3.com
FAIRMONTWV.GOV,City,Non-Federal Agency,City of Fairmont,Fairmont,WV,rob@itwv.com
FAIRMOUNTGA.GOV,City,Non-Federal Agency,City of Fairmount GA,Fairmount,GA,(blank)
FAIRMOUNTHEIGHTSMD.GOV,City,Non-Federal Agency,Town of Fairmount Heights,Fairmount Heights,MD,(blank)
FAIRVIEWNC.GOV,City,Non-Federal Agency,Fairview Town Council,Monroe,NC,(blank)
FAIRVIEWOREGON.GOV,City,Non-Federal Agency,City of Fairview,Fairview,OR,(blank)
FAIRVIEWTN.GOV,City,Non-Federal Agency,City of Fairview,Fairview,TN,security@fairview-tn.org
FALCONERNY.GOV,City,Non-Federal Agency,Village of Falconer,Falconer,NY,jjaroszynski@villageoffalconer.com
FALLCREEKWI.GOV,City,Non-Federal Agency,Village of Fall Creek,Fall Creek,WI,kmeinholz@fallcreekwi.gov
FALLONNEVADA.GOV,City,Non-Federal Agency,City of Fallon,Fallon,NV,austin@theabbiagency.com
FALLSCHURCHCITYVA.GOV,City,Non-Federal Agency,City of Falls Church,Falls Church,VA,cfcsupport@fallschurchva.gov
FALLSCHURCHVA.GOV,City,Non-Federal Agency,City of Falls Church,Falls Church,VA,cfcsupport@fallschurchva.gov
FALLSCITYOREGON.GOV,City,Non-Federal Agency,City of Falls City,Falls City,OR,(blank)
FALLSPA.GOV,City,Non-Federal Agency,Falls Township,Falls,PA,security@moodusmedia.com
FALMOUTHFIREMA.GOV,City,Non-Federal Agency,Town of Falmouth,Falmouth,MA,webmaster@falmouthma.gov
FALMOUTHMA.GOV,City,Non-Federal Agency,Town of Falmouth,Falmouth,MA,webmaster@falmouthma.gov
FALMOUTHPOLICEMA.GOV,City,Non-Federal Agency,Town of Falmouth,Falmouth,MA,webmaster@falmouthma.gov
FALMOUTHPUBLICSAFETYMA.GOV,City,Non-Federal Agency,Falmouth Emergency Communications,Falmouth,MA,psadministrator@falmouthma.gov
FALMOUTHRETIREMENTMA.GOV,City,Non-Federal Agency,Falmouth Retirement System,Falmouth,MA,retire@falmouthretirementma.gov
FARGO-ND.GOV,City,Non-Federal Agency,City of Fargo,Fargo,ND,security@FargoND.GOV
FARGOND.GOV,City,Non-Federal Agency,City of Fargo,Fargo,ND,security@fargond.gov
FARMERSBRANCHTX.GOV,City,Non-Federal Agency,City of Farmers Branch,Farmers Branch,TX,helpdesk@farmersbranchtx.gov
FARMINGTON-MO.GOV,City,Non-Federal Agency,City of Farmington,Farmington,MO,(blank)
FARMINGTONLAXWI.GOV,City,Non-Federal Agency,Town of Farmington,Mindoro,WI,level2@mcsnetworks.com
FARMINGTONMN.GOV,City,Non-Federal Agency,City of Farmington,Farmington,MN,itstaff@farmingtonmn.gov
FARMVILLENC.GOV,City,Non-Federal Agency,Town of Farmville,Farmville,NC,(blank)
FARMVILLEVA.GOV,City,Non-Federal Agency,"Town of Farmville,Virginia",Farmville,VA,info@farmvilleva.com
FATETX.GOV,City,Non-Federal Agency,City of Fate,Fate,TX,(blank)
FAYETTEMOPD.GOV,City,Non-Federal Agency,"City of Fayette, MO",Fayette,MO,blucas@fusioncomputers.net
FAYETTEVILLE-AR.GOV,City,Non-Federal Agency,City of Fayetteville,Fayetteville,AR,bfulmer@fayetteville-ar.gov
FAYETTEVILLE-GA.GOV,City,Non-Federal Agency,City of Fayetteville,Fayetteville,GA,(blank)
FAYETTEVILLENC.GOV,City,Non-Federal Agency,"City of Fayetteville, North Carolina",Fayetteville,NC,(blank)
FAYETTEVILLENY.GOV,City,Non-Federal Agency,Village of Fayetteville,Fayetteville,NY,(blank)
FAYETTEVILLEWV.GOV,City,Non-Federal Agency,TOWN OF FAYETTEVILLE,FAYETTEVILLE,WV,(blank)
FEDERALWAYWA.GOV,City,Non-Federal Agency,City of Federal Way,Federal Way ,WA,(blank)
FERNDALEMI.GOV,City,Non-Federal Agency,City of Ferndale,Ferndale,MI,(blank)
FERRISTEXAS.GOV,City,Non-Federal Agency,City of Ferris,Ferris,TX,(blank)
FILLMORECA.GOV,City,Non-Federal Agency,City of Fillmore,Fillmore,CA,patrickm@ci.fillmore.ca.us
FINDLAYOHIO.GOV,City,Non-Federal Agency,City of Findlay,Findlay,OH,comp-serv@findlayohio.com
FIRESTONECO.GOV,City,Non-Federal Agency,Town of Firestone,Firestone,CO,(blank)
FISHKILL-NY.GOV,City,Non-Federal Agency,Town of Fishkill,Fishkill,NY,dcolonna@fishkill-ny.gov
FITCHBURGMA.GOV,City,Non-Federal Agency,City of Fitchburg,Fitchburg,MA,tbonilla@fitchburgma.gov
FITCHBURGWI.GOV,City,Non-Federal Agency,City of Fitchburg,Fitchburg,WI,(blank)
FITZWILLIAM-NH.GOV,City,Non-Federal Agency,City of Fitzwilliam,Fitzwilliam,NH,(blank)
FLAGSTAFFAZ.GOV,City,Non-Federal Agency,City of Flagstaff,Flagstaff,AZ,mkakert@flagstaffaz.gov
FLATONIATX.GOV,City,Non-Federal Agency,City of Flatonia,Flatonia,TX,manager@ci.flatonia.tx.us
FLORENCE-KY.GOV,City,Non-Federal Agency,City of Florence Kentucky,Florence,KY,linda.chapman@florence-ky.gov
FLORENCE-NJ.GOV,City,Non-Federal Agency,Township of Florence,Florence,NJ,(blank)
FLORENCEAZ.GOV,City,Non-Federal Agency,Town of Florence,Florence,AZ,(blank)
FLORENCEWI.GOV,City,Non-Federal Agency,Town of Florence,Florence,WI,brippey@tecksolutions.net
FLORESVILLEEDCTX.GOV,City,Non-Federal Agency,Floresville Economic Development Corporation,Floresville,TX,rswenson@mation.com
FLORESVILLETX.GOV,City,Non-Federal Agency,City of Floresville,Floresville,TX,domains@drewadesigns.com
FLORIDACITYFL.GOV,City,Non-Federal Agency,Florida City,Florida City,FL,(blank)
FOLLANSBEEWV.GOV,City,Non-Federal Agency,City of Follansbee,Follansbee,WV,support@omniperforms.com
FOLLYBEACH.GOV,City,Non-Federal Agency,City of Folly Beach,Folly Beach,SC,service@vc3.com
FONTANACA.GOV,City,Non-Federal Agency,City of Fontana,Fontana,CA,cbeck@fontana.org
FORESTGROVE-OR.GOV,City,Non-Federal Agency,CITY OF FOREST GROVE,FOREST GROVE,OR,groberts@forestgrove-or.gov
FORESTHEIGHTSMD.GOV,City,Non-Federal Agency,Town of Forest Heights,Forest Heights,MD,(blank)
FORESTMSPD.GOV,City,Non-Federal Agency,City of Forest,Forest,MS,(blank)
FORESTPARKGA.GOV,City,Non-Federal Agency,City of Forest Park,Forest Park,GA,rtucker@interdev.com
FORESTPARKOK.GOV,City,Non-Federal Agency,Town of Forest Park,Forest Park,OK,dwest@forestparkok.gov
FORESTTOWNRCWI.GOV,City,Non-Federal Agency,Town of Forest,MADISON,WI,forest@mwt.net
FORNEYTX.GOV,City,Non-Federal Agency,City of Forney,Forney,TX,itmanagers@forneytx.gov
FORSYTH-IL.GOV,City,Non-Federal Agency,Village of Forsyth,Forsyth,IL,(blank)
FORSYTHMO.GOV,City,Non-Federal Agency,City of Forsyth,Forsyth,MO,mikecrandall@celipso.com
FORTATKINSONIA.GOV,City,Non-Federal Agency,City of Fort Atkinson,Fort Atkinson,IA,gbarta33@gmail.com
FORTATKINSONWI.GOV,City,Non-Federal Agency,City of Fort Atkinson,City of Fort Atkinson,WI,miebbert@fortatkinsonwi.net
FORTCOLLINS-CO.GOV,City,Non-Federal Agency,City of Fort Collins,Fort Collins,CO,SysAdmins@fcgov.com
FORTDEPOSITAL.GOV,City,Non-Federal Agency,Fort Deposit,Fort Deposit,AL,rodney@ram-computers.net
FORTLUPTONCO.GOV,City,Non-Federal Agency,City of Fort Lupton,Fort Lupton,CO,(blank)
FORTMILLSC.GOV,City,Non-Federal Agency,Town of Fort Mill,Fort Mill,SC,jthomton@fortmillsc.gov
FORTMYERSBEACHFL.GOV,City,Non-Federal Agency,Town of Fort Myers Beach,Fort Myers Beach,FL,(blank)
FORTSMITHAR.GOV,City,Non-Federal Agency,City of Fort Smith,Fort Smith,AR,mbosco@fortsmithar.gov
FORTWINN.GOV,City,Non-Federal Agency,Town of Fort Winnebago,Portage,WI,fortwinnebagotownclerk@gmail.com
FORTWORTH-TEXAS.GOV,City,Non-Federal Agency,City of Fortworth,Fort Worth,TX,(blank)
FORTWORTH-TX.GOV,City,Non-Federal Agency,City of Fortworth,Fort Worth,TX,(blank)
FORTWORTHTEXAS.GOV,City,Non-Federal Agency,City of Fortworth ,Fort Worth,TX,(blank)
FORTWORTHTEXASALERTS.GOV,City,Non-Federal Agency,City of Fort Worth,Fort Worth,TX,(blank)
FOSTORIAOHIO.GOV,City,Non-Federal Agency,City of Fostoria,Fostoria,OH,(blank)
FOUNTAINCO.GOV,City,Non-Federal Agency,City of Fountain,Fountain,CO,abuse@fountaincolorado.org
FOUNTAINHILLSAZ.GOV,City,Non-Federal Agency,Town of Fountain Hills,Fountain Hills,AZ,abuse@fountainhillsaz.gov
FOXBOROUGHMA.GOV,City,Non-Federal Agency,Town of Foxborough,Foxborough,MA,goncalvesd@foxborough.k12.ma.us
FOXCROSSINGWI.GOV,City,Non-Federal Agency,Village of Fox Crossing,Neenah,WI,is@foxcrossingwi.gov
FOXPOINTWI.GOV,City,Non-Federal Agency,Village of Fox Point,Fox Point,WI,jtaylor07target@tcsinc.biz
FRAMINGHAMMA.GOV,City,Non-Federal Agency,Town of Framingham,Framingham,MA,security@framinghamma.gov
FRAMINGHAMPD.GOV,City,Non-Federal Agency,Framingham Police ,Framingham,MA,security@framinghamma.gov
FRANKFORT-IN.GOV,City,Non-Federal Agency,City of Frankfort,Frankfort,IN,(blank)
FRANKLIN-NJ.GOV,City,Non-Federal Agency,Township of Franklin,Someret,NJ,Robert.McQueen@franklinnj.gov
FRANKLIN-TN.GOV,City,Non-Federal Agency,City of Franklin,Franklin,TN,(blank)
FRANKLIN-TOWNSHIPOHIO.GOV,City,Non-Federal Agency,Franklin Township Board of Trustees,Columbus,OH,revon@revolutiongroup.com
FRANKLINDELCO-NY.GOV,City,Non-Federal Agency,Town of Franklin - DelCo,Franklin,NY,(blank)
FRANKLINGA.GOV,City,Non-Federal Agency,City of Franklin,Franklin,GA,khayes@franklinga.gov
FRANKLINMA.GOV,City,Non-Federal Agency,"Town of Franklin., MA",Franklin,MA,(blank)
FRANKLINNJ.GOV,City,Non-Federal Agency,Township of Franklin,Somerset,NJ,Robert.McQueen@franklinnj.gov
FRANKLINPA.GOV,City,Non-Federal Agency,City of Franklin,Franklin,PA,(blank)
FRANKLINTN.GOV,City,Non-Federal Agency,CIty of Franklin,Franklin,TN,(blank)
FRANKLINTOWNSHIPCARBONPA.GOV,City,Non-Federal Agency,Franklin Township,Lehighton,PA,ftsupers@ptd.net
FRANKLINVILLAGEMI.GOV,City,Non-Federal Agency,Village of Franklin,Franklin,MI,support@ets-tech.net
FRANKLINWI.GOV,City,Non-Federal Agency,City of Franklin,Franklin,WI,(blank)
FRANKSTONTX.GOV,City,Non-Federal Agency,City of Frankston,Frankston,TX,dgoodman@frankstontx.gov
FRAZEYSBURG.GOV,City,Non-Federal Agency,Village of Frazeysburg,Frazeysburg,OH,web@newperry.net
FREDERICKCO.GOV,City,Non-Federal Agency,Town of Frederick,Frederick,CO,(blank)
FREDERICKMD.GOV,City,Non-Federal Agency,City of Frederick,Frederick,MD,helpdesk@cityoffrederick.com
FREDERICKSBURGVA.GOV,City,Non-Federal Agency,City of Fredericksburg,Fredericksburg,VA,kgbane@fredericksburgva.gov
FREDONNJ.GOV,City,Non-Federal Agency,Township of Fredon,Newton,NJ,(blank)
FREEDOMSAUKWI.GOV,City,Non-Federal Agency,TOWN OF FREEDOM,ROCK SPRINGS,WI,freedom.townof@gmail.com
FREEHOLDBOROUGHNJ.GOV,City,Non-Federal Agency,Borough of Freehold,Freehold,NJ,(blank)
FREEPORTFLORIDA.GOV,City,Non-Federal Agency,City of Freeport,Freeport,FL,(blank)
FREEPORTNY.GOV,City,Non-Federal Agency,Inc. Village of Freeport,Freeport,NY,(blank)
FREETOWNMA.GOV,City,Non-Federal Agency,Town of Freetown,Assonet,MA,(blank)
FREMONT.GOV,City,Non-Federal Agency,City of Fremont,Fremont,CA,helpdesk@fremont.gov
FREMONTFIRE.GOV,City,Non-Federal Agency,City of Fremont,Fremont,CA,helpdesk@fremont.gov
FREMONTHILLS.GOV,City,Non-Federal Agency,City of Fremont Hills,Fremont Hills,MO,(blank)
FREMONTMI.GOV,City,Non-Federal Agency,City of Fremont,Fremont,MI,tblake@cityoffremont.net
FREMONTNC.GOV,City,Non-Federal Agency,Fremont town,Fremont,NC,(blank)
FREMONTNE.GOV,City,Non-Federal Agency,City of Fremont,Fremont,NE,michael.fu@fremontne.gov
FREMONTPOLICE.GOV,City,Non-Federal Agency,City of Fremont Police Department,Fremont,CA,dyu@fremont.gov
FRENCHSETTLEMENT-LA.GOV,City,Non-Federal Agency,French Settlement,French Settlement,LA,(blank)
FRENCHTOWNMI.GOV,City,Non-Federal Agency,Frenchtown Charter Township,Monroe,MI,support@mytechexperts.com
FRESNO.GOV,City,Non-Federal Agency,City of Fresno,Fresno,CA,abuse@fresno.gov
FRIDLEYMN.GOV,City,Non-Federal Agency,"City of Fridley, MN",Fridley,MN,networkadministrator@fridleymn.gov
FRIENDSHIPHEIGHTSMD.GOV,City,Non-Federal Agency,Village of Friendship Heights,Chevy Chase,MD,(blank)
FRIENDSVILLETN.GOV,City,Non-Federal Agency,City of Friendsville,Friendsville,TN,scardwell@bcso.com
FRIENDSWOODTX.GOV,City,Non-Federal Agency,CITY OF FRIENDSWOOD,FRIENDSWOOD,TX,jobrien@friendswood.com
FRISCOTEXAS.GOV,City,Non-Federal Agency,City of Frisco,Frisco,TX,ggivens@friscotexas.gov
FRISCOTX.GOV,City,Non-Federal Agency,City of Frisco,Frisco,TX,ggivens@friscotexas.gov
FRONTROYALVA.GOV,City,Non-Federal Agency,"Town of Front Royal, Virginia",Front Royal,VA,(blank)
FRUITLANDMI.GOV,City,Non-Federal Agency,Fruitland Township,Whitehall,MI,support@itright.com
FRUITPORTTOWNSHIP-MI.GOV,City,Non-Federal Agency,Fruitport Charter Township,Fruitport,MI,(blank)
FULLERTONNE.GOV,City,Non-Federal Agency,City of Fullerton,Fullerton,NE,(blank)
FULSHEARTEXAS.GOV,City,Non-Federal Agency,City of Fulshear,Fulshear,TX,(blank)
FULTONDALEAL.GOV,City,Non-Federal Agency,City of Fultondale,Fultondale,AL,dan.dodge@city-tech.com
GAHANNA.GOV,City,Non-Federal Agency,City of Gahanna,Gahanna,OH,brandon.mccorkle@gahanna.gov
GAINESVILLEFL.GOV,City,Non-Federal Agency,City of Gainesville,Gainesville,FL,dudadp@cityofgainesville.org
GAINESVILLEGA.GOV,City,Non-Federal Agency,City of Gainesville,Gainesville,GA,it-securityt@gainesville.org
GAITHERSBURGMD.GOV,City,Non-Federal Agency,City of Gaithersburg,Gaithersburg,MD,itsecurity@gaithersburgmd.gov
GALENAKS.GOV,City,Non-Federal Agency,City of Galena,GALENA,KS,(blank)
GALENAOHIO.GOV,City,Non-Federal Agency,Village of Galena,Galena,OH,(blank)
GALLAGHERTOWNSHIPPA.GOV,City,Non-Federal Agency,Gallagher Township Authority,Lock Haven,PA,security@kkern.net
GALLATIN-TN.GOV,City,Non-Federal Agency,City of Gallatin,Gallatin,TN,(blank)
GALLATINTN.GOV,City,Non-Federal Agency,City of Gallatin,Gallatin,TN,(blank)
GALLAWAYTN.GOV,City,Non-Federal Agency,City Of Gallaway,Gallaway,TN,support@worldtechms.com
GALLUPNM.GOV,City,Non-Federal Agency,CITY OF GALLUP,GALLUP,NM,(blank)
GALVAIL.GOV,City,Non-Federal Agency,City of Galva,Galva,IL,(blank)
GALVESTONTX.GOV,City,Non-Federal Agency,City of Galveston,Galveston,TX,networksupport@galvestontx.gov
GARDENCITY-GA.GOV,City,Non-Federal Agency,City of Garden City,Garden City,GA,(blank)
GARDINERMAINE.GOV,City,Non-Federal Agency,City of Gardiner,gardiner,ME,(blank)
GARDNER-MA.GOV,City,Non-Federal Agency,CITY OF GARDNER,GARDNER,MA,rokeefe@gardner-ma.gov
GARDNERKANSAS.GOV,City,Non-Federal Agency,City of Gardner,Gardner,KS,itservice@gardnerkansas.gov
GARIBALDI.GOV,City,Non-Federal Agency,City of Garibaldi,Garibaldi,OR,city@ci.garibaldi.or.us
GARLANDTX.GOV,City,Non-Federal Agency,City of Garland,Garland,TX,hharper@garlandtx.gov
GARNERNC.GOV,City,Non-Federal Agency,"Town of Garner, NC",Garner,NC,erucker@garnernc.gov
GARRETTPARKMD.GOV,City,Non-Federal Agency,Town of Garrett Park,Garrett Park,MD,it_security@garrettparkmd.gov
GARY.GOV,City,Non-Federal Agency,City of Gary,Gary,IN,lkeith@ci.gary.in.us
GATLINBURGTN.GOV,City,Non-Federal Agency,City of Gatlinburg,Gatlinburg,TN,(blank)
GAUTIER-MS.GOV,City,Non-Federal Agency,City of Gautier,Gautier,MS,(blank)
GAYGA.GOV,City,Non-Federal Agency,"Gay, GA City Hall",Gay,GA,ruthcnash@bellsouth.net
GENEVAAL.GOV,City,Non-Federal Agency,City of Geneva,Geneva,AL,genevapolice@panhandle.rr.com
GENEVAOHIO.GOV,City,Non-Federal Agency,City of Geneva,Geneva,OH,admin@genevaohio.gov
GEORGETOWN-MI.GOV,City,Non-Federal Agency,Georgetown Charter Township,Jenison,MI,(blank)
GEORGETOWNKY.GOV,City,Non-Federal Agency,City of Georgetown,Georgetown,KY,mmchale@NetGainIT.com
GEORGETOWNOHIO.GOV,City,Non-Federal Agency,Village of Georgetown,Georgetown,OH,robert.freeland@georgetownohio.gov
GEORGETOWNSC.GOV,City,Non-Federal Agency,CITY OF GEORGETOWN,GEORGETOWN,SC,security@cogsc.com
GERMANTOWN-TN.GOV,City,Non-Federal Agency,City of Germantown,Germantown,TN,security@germantown-tn.gov
GERMANTOWNPOLICEWI.GOV,City,Non-Federal Agency,Village of Germantown,Germantown,WI,ehirn@germantownwi.gov
GERMANTOWNWI.GOV,City,Non-Federal Agency,Village of Germantown,Germantown,WI,security@village.germantown.wi.us
GETTYSBURGPA.GOV,City,Non-Federal Agency,Borough of Gettysburg,Gettysburg,PA,support@teamtreysta.com
GIBRALTARWI.GOV,City,Non-Federal Agency,Town of Gibraltar,Fish Creek,WI,security@townofgibraltar.us
GIGHARBORWA.GOV,City,Non-Federal Agency,City of Gig Harbor,Gig Harbor,WA,domains@cityofgigharbor.net
GILBERTAZ.GOV,City,Non-Federal Agency,Town of Gilbert,Gilbert,AZ,infosec@gilbertaz.gov
GILBERTSVILLENY.GOV,City,Non-Federal Agency,Village of Gilbertsville,Gilbertsville,NY,(blank)
GILLETTEWY.GOV,City,Non-Federal Agency,City of Gillette,Gillette,WY,noc@gillettewy.gov
GILSUM-NH.GOV,City,Non-Federal Agency,"Town of Gilsum, NH",Gilsum,NH,support@twinbridgeservices.com
GIRARDKANSAS.GOV,City,Non-Federal Agency,"City of Girard, Kansas",Girard,KS,(blank)
GLASTONBURY-CT.GOV,City,Non-Federal Agency,"Town of Glastonbury, CT",Glastonbury,CT,itstaff@glastonbury-ct.gov
GLASTONBURYCT.GOV,City,Non-Federal Agency,Town of Glastonbury,Glastonbury,CT,itstaff@glastonbury-ct.gov
GLENBEULAHWI.GOV,City,Non-Federal Agency,Village of Glenbeulah,Glenbeulah,WI,support@pros4technology.com
GLENCARBONIL.GOV,City,Non-Federal Agency,Village of Glen Carbon,Glen Carbon,IL,cschaller@glen-carbon.il.us
GLENCOVENY.GOV,City,Non-Federal Agency,City of Glen Cove,Glen Cove,NY,(blank)
GLENDALE-WI.GOV,City,Non-Federal Agency,"City of Glendale, Wisconsin",Glendale,WI,(blank)
GLENDALEAZ.GOV,City,Non-Federal Agency,"City of Glendale, Arizona",Glendale,AZ,it_security@glendaleaz.com
GLENDALECA.GOV,City,Non-Federal Agency,City of Glendale,Glendale,CA,AJuarez@Glendaleca.gov
GLENDALEWI.GOV,City,Non-Federal Agency,"City of Glendale, Wisconsin",Glendale,WI,(blank)
